id,name,name_hanzi
1100,beijing,北京
3100,shanghai,上海
4401,guangzhou,广州
4403,shenzhen,深圳
4201,wuhan,武汉
1200,tianjin,天津
3201,nanjing,南京
8100,xianggang,香港
5000,chongqing,重庆
3301,hangzhou,杭州
2101,shenyang,沈阳
2102,dalian,大连
5101,chengdu,成都
2201,changchun,长春
3205,suzhou,苏州
4406,foshan,佛山
5301,kunming,昆明
6101,xian,西安
4101,zhengzhou,郑州
4301,changsha,长沙
3302,ningbo,宁波
3202,wuxi,无锡
3702,qingdao,青岛
3601,nanchang,南昌
3501,fuzhou,福州
4419,dongguan,东莞
4501,nanning,南宁
3401,hefei,合肥
5201,guiyang,贵阳
3502,xiamen,厦门
2301,haerbin,哈尔滨
1301,shijiazhuang,石家庄
6501,wulumuqi,乌鲁木齐
3303,wenzhou,温州
3701,jinan,济南
6201,lanzhou,兰州
3204,changzhou,常州
3203,xuzhou,徐州
1401,taiyuan,太原
1501,huhehaote,呼和浩特
